39329,John Grisham,https://covers.openlibrary.org/a/olid/OL39329A-M.jpg,8 February 1955,,"Long before his name became synonymous with the modern legal thriller, he was working 60-70 hours a week at a small Southaven, Mississippi, law practice, squeezing in time before going to the office and during courtroom recesses to work on his hobby—writing his first novel.

Born on February 8, 1955 in Jonesboro, Arkansas, to a construction worker and a homemaker, John Grisham as a child dreamed of being a professional baseball player. Realizing he didn’t have the right stuff for a pro career, he shifted gears and majored in accounting at Mississippi State University. After graduating from law school at Ole Miss in 1981, he went on to practice law for nearly a decade in Southaven, specializing in criminal defense and personal injury litigation. In 1983, he was elected to the state House of Representatives and served until 1990.

One day at the DeSoto County courthouse, Grisham overheard the harrowing testimony of a twelve-year-old rape victim and was inspired to start a novel exploring what would have happened if the girl’s father had murdered her assailants. Getting up at 5 a.m. every day to get in several hours of writing time before heading off to work, Grisham spent three years on A Time to Kill and finished it in 1987. Initially rejected by many publishers, it was eventually bought by Wynwood Press, who gave it a modest 5,000 copy printing and published it in June 1988.

That might have put an end to Grisham’s hobby. However, he had already begun his next book, and it would quickly turn that hobby into a new full-time career—and spark one of publishing’s greatest success stories. The day after Grisham completed A Time to Kill, he began work on another novel, the story of a hotshot young attorney lured to an apparently perfect law firm that was not what it appeared. When he sold the film rights to The Firm to Paramount Pictures for $600,000, Grisham suddenly became a hot property among publishers, and book rights were bought by Doubleday. Spending 47 weeks on The New York Times bestseller list, The Firm became the bestselling novel of 1991.

The successes of The Pelican Brief, which hit number one on the New York Times bestseller list, and The Client, which debuted at number one, confirmed Grisham’s reputation as the master of the legal thriller. Grisham’s success even renewed interest in A Time to Kill, which was republished in hardcover by Doubleday and then in paperback by Dell. This time around, it was a bestseller.

Since first publishing A Time to Kill in 1988, Grisham has written one novel a year (his other books are The Firm, The Pelican Brief, The Client, The Chamber, The Rainmaker, The Runaway Jury, The Partner, The Street Lawyer, The Testament, The Brethren, A Painted House, Skipping Christmas, The Summons, The King of Torts, Bleachers, The Last Juror, The Broker, Playing for Pizza, The Appeal, and The Associate) and all of them have become international bestsellers. There are currently over 250 million John Grisham books in print worldwide, which have been translated into 29 languages. Nine of his novels have been turned into films (The Firm, The Pelican Brief, The Client, A Time to Kill, The Rainmaker, The Chamber, A Painted House, The Runaway Jury, and Skipping Christmas), as was an original screenplay, The Gingerbread Man. The Innocent Man (October 2006) marked his first foray into non-fiction, and Ford County (November 2009) was his first short story collection.

Grisham lives with his wife Renee and their two children Ty and Shea. The family splits their time between their Victorian home on a farm in Mississippi and a plantation near Charlottesville, VA.

Grisham took time off from writing for several months in 1996 to return, after a five-year hiatus, to the courtroom. He was honoring a commitment made before he had retired from the law to become a full-time writer: representing the family of a railroad brakeman killed when he was pinned between two cars. Preparing his case with the same passion and dedication as his books’ protagonists, Grisham successfully argued his clients’ case, earning them a jury award of $683,500—the biggest verdict of his career.

When he’s not writing, Grisham devotes time to charitable causes, including most recently his Rebuild The Coast Fund, which raised 8.8 million dollars for Gulf Coast relief in the wake of Hurricane Katrina. He also keeps up with his greatest passion: baseball. The man who dreamed of being a professional baseball player now serves as the local Little League commissioner. The six ballfields he built on his property have played host to over 350 kids on 26 Little League teams."
30421,William Goldman,https://covers.openlibrary.org/a/olid/OL30421A-M.jpg,1931,,
397826,S. E. Hinton,https://covers.openlibrary.org/a/olid/OL397826A-M.jpg,22 July 1950,,"Susan Eloise Hinton published her first book, *The Outsiders*, at the age of 17. Her publisher suggested she publish under her initials instead of her feminine so that book reviewers would not dismiss the novel because its author was female, and she continued to publish using her initials because of the success of her first book and because she did not want to be famous.

In 1979, Hinton was the first recipient of the Margaret Edwards Award, presented by the Young Adult Library Services Association, a division of the ALA for work which depicts the experiences and emotions of teenagers and is widely accepted by young people. That same year, The Outsiders was named best novel by the New York Times in 1979.

Hinton currently resides in Tulsa, Oklahoma with her husband."
1514025,James Dashner,https://covers.openlibrary.org/a/olid/OL1514025A-M.jpg,1972,,
1453058,Steven D. Levitt,https://covers.openlibrary.org/a/olid/OL1453058A-M.jpg,"May 29, 1967",,"""Steven David ""Steve"" Levitt is a prominent American economist best known for his work on crime, in particular on the link between legalized abortion and crime rates. Winner of the 2003 John Bates Clark Medal, he is currently the Alvin H. Baum Professor of Economics at the University of Chicago, director of the Becker Center on Chicago Price Theory at the University of Chicago Graduate School of Business, and co-editor of the Journal of Political Economy published by the University of Chicago Press."" - Wikipedia"
23767,Frances Hodgson Burnett,https://covers.openlibrary.org/a/olid/OL23767A-M.jpg,"November 24, 1849","October 29, 1924","Frances Hodgson Burnett was best known as an English playwright and author. Frances Eliza Hodgson was born on November 24, 1849, at Cheetham Hill, Manchester, England, to Eliza Boond and Edwin Hodgson. She was the middle child of five, with two older brothers and two younger sisters.

Frances grew up in a comfortable home. Mr. Hodgson sold brass goods to upper class households, and the family had a maid, a nurse-maid, and a horse and carriage.  However, in the early 1850's when Frances was only three or four years old, her father died of a stroke, and the family was forced to sell their house and move. Her mother carried on the business, and Frances was often left in the care of her grandmother, who taught her to read. Her future as a writer might have begun here.

When she was about sixteen, the family moved to Knoxville, Tennessee. From then until she was nineteen, Frances supported them by selling her stories to magazines.

In September 1873, she married Swan Burnett. The couple moved to Paris for two years and had there two sons. In 1892, following the death her son Lionel from tuberculosis, Frances suffered severe depression. In 1898, she divorced Swan Burnett and remarried two years later; this second marriage only lasted a year.

Frances settled in Long Island, New York, where she lived for the rest of her life. She died in 1924 and rests in Roslyn Cemetery in Greenvale, New York, next to her other son, Vivian."
27363,Gabriel García Márquez,https://covers.openlibrary.org/a/olid/OL27363A-M.jpg,1927-03-06,2014-04-17,"Gabriel García Márquez is a Colombian novelist, short-story writer, screenwriter and journalist. García Márquez, affectionately known as ""Gabo"" throughout Latin America, is considered one of the most significant authors of the 20th century. In 1982, he was awarded the Nobel Prize in Literature. He pursued a self-directed education that resulted in his leaving law school for a career in journalism. From early on, he showed no inhibitions in his criticism of Colombian and foreign politics. In 1958, he married Mercedes Barcha; they have two sons, Rodrigo and Gonzalo.

He started as a journalist, and has written many acclaimed non-fiction works and short stories, but is best-known for his novels, such as One Hundred Years of Solitude (1967) and Love in the Time of Cholera (1985). His works have achieved significant critical acclaim and widespread commercial success, most notably for popularizing a literary style labeled as magical realism, which uses magical elements and events in otherwise ordinary and realistic situations. Some of his works are set in a fictional village called Macondo, and most of them express the theme of solitude. [1]

 [1]: http://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez

Source and more information: http://en.wikipedia.org/wiki/Gabriel_García_Márquez"
20646,Oscar Wilde,https://covers.openlibrary.org/a/olid/OL20646A-M.jpg,16 October 1854,30 November 1900,"An Irish writer, poet, and prominent aesthete.

Oscar Fingal O'Flahertie Wills Wilde was an Irish playwright, poet, and author of numerous short stories, and one novel. Known for his biting wit, and a plentitude of aphorisms, he became one of the most successful playwrights of the late Victorian era in London, and one of the greatest celebrities of his day. Several of his plays continue to be widely performed, especially The Importance of Being Earnest.

As the result of a widely covered series of trials, Wilde suffered a dramatic downfall and was imprisoned for two years hard labour after being convicted of ""gross indecency"" with other men. After Wilde was released from prison he set sail for Dieppe by the night ferry. He never returned to Ireland or Britain, and died in poverty."
31727,Bram Stoker,https://covers.openlibrary.org/a/olid/OL31727A-M.jpg,1847,1912,
26680,Louisa May Alcott,https://covers.openlibrary.org/a/olid/OL26680A-M.jpg,29 November 1832,6 March 1888,"Louisa May Alcott was born in Germantown, Pennsylvania on November 29, 1832.  She and her three sisters, Anna, Elizabeth, and May, were educated by their father, philosopher and teacher Bronson Alcott, and raised on the practical Christianity of their mother, Abigail May.

Louisa spent her childhood in Boston and in Concord, Massachusetts, where her days were enlightened by visits to Ralph Waldo Emerson’s library, excursions into nature with Henry David Thoreau, and theatricals in the barn at ""Hillside"".

Like her character, ""Jo March"" in Little Women, young Louisa was a tomboy.  ""No boy could be my friend till I had beaten him in a race,"" she claimed, ""and no girl if she refused to climb trees, leap fences ...""

For Louisa, writing was an early passion.  She had a rich imagination and often her stories became melodramas that she and her sisters would act out for friends.  Louisa preferred to play the ""lurid"" parts in these plays --""the villains, ghosts, bandits, and disdainful queens.""

At age 15, troubled by the poverty that plagued her family, she vowed:   ""I will do something by and by.  Don’t care what, teach, sew, act, write -- anything to help the family; and I’ll be rich and famous and happy before I die, see if I won’t!"""
